Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Defaults and Dismissals,Hollywood Pavilion,2015008537,,12/21/2015
Defaults and Dismissals,Hollywood Pavilion,2014007475,,11/5/2014
Defaults and Dismissals,Hollywood Pavilion,2014009169,,12/3/2014
Defaults and Dismissals,Hollywood Pavilion,2011003416,,4/4/2011
Defaults and Dismissals,Hollywood Pavilion,2013000687,,2/6/2013
Defaults and Dismissals,Hollywood Pavilion,2012006440,,6/18/2012
Settlement Agreements,Hollywood Pavilion LLC,2014005023,14-209PH,6/17/2014
Settlement Agreements,"Hollywood Pavilion LLC, Larkin Community Hospital","2014001019, 2014006070",,10/13/2014
Defaults and Dismissals,"Hollywood Rehabilitation Center, Inc.",2005001765,,6/13/2005
Settlement Agreements,Hollywood Surgical Center LLC,2021012529,21-499PH,9/20/2021
Defaults and Dismissals,Hollywood Surgical Center LLC,2019005987,,6/7/2019
Defaults and Dismissals,Hollywood Surgical Center LLC,2016012640,,12/13/2016
Defaults and Dismissals,Holmes County,13-942CB,,10/21/2013
Defaults and Dismissals,Holmes County,13-866CB,,10/14/2013
Defaults and Dismissals,Holmes County,13-1063CB,,12/10/2013
Defaults and Dismissals,Holmes County,13-1018CB,,11/1/2013
Defaults and Dismissals,Holmes County,13-704CB,,8/22/2013
Defaults and Dismissals,Holmes County,13-662CB,,8/7/2013
Defaults and Dismissals,Holmes County,13-777CB,,9/9/2013
Defaults and Dismissals,Holmes County,13-812CB,,9/10/2013
Defaults and Dismissals,Holmes County,13-599CB,,7/22/2013
Defaults and Dismissals,Holmes County,13-15CB,,2/13/2013
Defaults and Dismissals,Holmes County,13-275CB,,4/5/2013
Defaults and Dismissals,Holmes County,13-290CB,,4/15/2013
Defaults and Dismissals,Holmes County,13-193CB,,3/26/2013
Defaults and Dismissals,Holmes County,13-106CB,,3/18/2013
Defaults and Dismissals,Holmes County,13-134CB,,3/20/2013
Defaults and Dismissals,Holmes County,13-163CB,,3/25/2013
Defaults and Dismissals,Holmes County,13-330CB,,4/30/2013
Defaults and Dismissals,Holmes County,13-388CB,,5/10/2013
Defaults and Dismissals,Holmes County,13-518CB,,6/13/2013
Defaults and Dismissals,Holmes County,13-545CB,,6/24/2013
Defaults and Dismissals,Holmes County,13-449CB,,5/23/2013
Settlement Agreements,Holmes Creek Alf,2004006661,04-3160,4/5/2005
Settlement Agreements,"Holmes Health Care, Inc",,95-2282,3/28/1996
Defaults and Dismissals,Holmes Regional Hospital,2007003044,,6/14/2007
Defaults and Dismissals,Holmes Regional Hospital,2006007776,,11/20/2006
Defaults and Dismissals,Holmes Regional Hospital,2007004062,,5/10/2007
Defaults and Dismissals,Holmes Regional Med Ctr Inc,CI 10-9839-000,,1/7/2010
Defaults and Dismissals,Holmes Regional Medical Center,"2009004987, 10-0019",,5/27/2009
Settlement Agreements,Holmes Regional Medical Center,2009003778,,10/13/2009
Defaults and Dismissals,Holmes Regional Medical Center,2008013097; 10-0019,,1/5/2009
Defaults and Dismissals,Holmes Regional Medical Center,2007003982,,5/9/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003340,,5/9/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007004058,,5/10/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003992,,5/10/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003993,,5/9/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003368,,5/9/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003556,,5/11/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003996,,5/11/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003539,,5/11/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003995,,5/10/2007
Defaults and Dismissals,Holmes Regional Medical Center,2006002691,,6/23/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006009361,,11/14/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006009204,,11/13/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006009623,,11/14/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006009829,,11/20/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006007773,,11/20/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006002699,,8/25/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006007032,,8/25/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006006662,,9/22/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006007728,,9/13/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006007729,,9/13/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006010463,,12/7/2006
Defaults and Dismissals,Holmes Regional Medical Center,2006007771,,11/16/2006
Recommended Orders,Holmes Regional Medical Center,2006006038,,1/4/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007001445,,2/21/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007000629,,1/23/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007001300,,2/14/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002939,,3/29/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003048,,6/14/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007004429,,6/15/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007006126,,6/19/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003291,,6/19/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003529,,6/18/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002311,,6/20/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002529,,6/21/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003532,,6/21/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002648,,7/9/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002532,,7/5/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007007406,,7/25/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007007526,,8/21/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007009107,,8/24/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007009110,,8/29/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002948,,6/4/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007001953,,6/4/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002944,,6/4/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007002173,,6/7/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003357,,6/7/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007001938,,6/7/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007004091,,6/8/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007004066,,6/8/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007003285,,6/11/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007004419,,5/16/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007004454,,5/16/2007
Settlement Agreements,Holmes Regional Medical Center,2007001468,07-2307,11/30/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007007790,07-257PH,11/5/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007009468,,11/13/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007010949,,10/19/2007
Defaults and Dismissals,Holmes Regional Medical Center,2005001514,,7/6/2005
Defaults and Dismissals,Holmes Regional Medical Center,2007009384,,2/21/2008
Defaults and Dismissals,Holmes Regional Medical Center,2006006038,,2/26/2008
Defaults and Dismissals,Holmes Regional Medical Center,CI 01-1597-000,,10/10/2002
Defaults and Dismissals,Holmes Regional Medical Center,2007007790,,2/5/2008
Defaults and Dismissals,Holmes Regional Medical Center,2003000274,,3/17/2003
Defaults and Dismissals,Holmes Regional Medical Center,2007008131,,12/6/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007008494,,12/17/2007
Defaults and Dismissals,Holmes Regional Medical Center,2007010061,,1/23/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008007683,,6/19/2008
Defaults and Dismissals,Holmes Regional Medical Center,2007008491,,6/19/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008007686,,6/19/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008007617,,6/19/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005653,,6/19/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005825,,6/24/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004881,,6/24/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008006063,,6/13/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004300,,6/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008007288,,6/16/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008006321,,6/13/2008
Defaults and Dismissals,Holmes Regional Medical Center,2007002312,,6/13/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005931,,6/9/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008006924,,6/9/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005873,,6/11/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005677,,6/11/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004884,,6/11/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005317,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005475,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004883,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004879,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005662,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005448,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005640,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005697,,5/27/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004877,,5/23/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005502,,5/23/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004321,,5/23/2008
Defaults and Dismissals,Holmes Regional Medical Center,2007006230,,6/2/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004677,,5/29/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005465,,5/29/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005430,,5/29/2008
Defaults and Dismissals,Holmes Regional Medical Center,2007009405,,6/3/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005495,,6/3/2008
Defaults and Dismissals,Holmes Regional Medical Center,2007009294,,6/2/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008006346,,6/5/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008005507,,6/5/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004911,,6/5/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004634,,6/5/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008006354,,6/6/2008
Defaults and Dismissals,Holmes Regional Medical Center,2007009397,,6/6/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004826,,4/25/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004902,,4/25/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004270,,4/21/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004893,,4/22/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004696,,4/21/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004291,,4/17/2008
Defaults and Dismissals,Holmes Regional Medical Center,2008004262,,4/17/2008
Settlement Agreements,Holmes Regional Medical Center,15-016MPF,15-1520,8/16/2019
Defaults and Dismissals,Holmes Regional Medical Center,2019-0017187,,6/7/2021
Defaults and Dismissals,Holmes Regional Medical Center,2020008827,,6/2/2020
Defaults and Dismissals,Holmes Regional Medical Center,2019019635,,8/25/2020
Defaults and Dismissals,Holmes Regional Medical Center,2020002147,,6/9/2020
Defaults and Dismissals,Holmes Regional Medical Center,2019016044,,9/19/2023
Defaults and Dismissals,Holmes Regional Medical Center,2013008801,,9/19/2013
Defaults and Dismissals,Holmes Regional Medical Center,2010012598,,12/7/2010
Defaults and Dismissals,Holmes Regional Medical Center,2012003187,,3/26/2012
Defaults and Dismissals,Holmes Regional Medical Center,16-30OM,,11/4/2016
Defaults and Dismissals,Holmes Regional Medical Center Anti-Coagulation Clinic,2008003208,,5/14/2008
Defaults and Dismissals,Holmes Regional Medical Center Clinical Laboratory,2009010401,,12/22/2009
Defaults and Dismissals,Holmes Regional Medical Center Inc,CI 07-5754-000,,3/24/2008
Settlement Agreements,Holmes Regional Medical Center Inc,2006002731,06-74PH,4/4/2007
Miscellaneous Orders,Holmes Regional Medical Center Inc,2021003575,,5/25/2021
Defaults and Dismissals,Holmes Regional Medical Center Inc,2019004419,,4/11/2019
Defaults and Dismissals,Holmes Regional Medical Center Inc,2018010042,,8/10/2018
Settlement Agreements,Holmes Regional Medical Center Inc,OPX-14,,2/3/2015
Defaults and Dismissals,Holmes Regional Medical Center Inc,2015008557,,12/17/2015
Defaults and Dismissals,Holmes Regional Medical Center Inc,2017010750,,12/22/2017
Defaults and Dismissals,Holmes Regional Medical Center Inc,2014005050,,6/2/2014
Recommended Orders,"Holmes Regional Medical Center, Inc",2004006632,04-2810CON,10/19/2005
Defaults and Dismissals,"Holmes Regional Medical Center, Inc.","2005006298, 2005006356","05-2738, 05-2854",8/2/2006
Recommended Orders,Holmes Regional Medical Center; Palm Bay Community Hospital,,97-4289,11/21/2000
Settlement Agreements,Holmes Residential Care,06-01-0037-ALF,,4/12/2001
Defaults and Dismissals,Holmes Residential Care Inc,2013011228,,4/7/2014
Defaults and Dismissals,Holmes VHA Long Term Care Joint Venture,,94-2439,12/16/1994
Settlement Agreements,Holmes VHA Long Term Care Joint Venture dba Holmes Regional,NH96-043M,96-3780,10/26/1999
Defaults and Dismissals,"Holmes, Delores",2006002074,,9/28/2006
Recommended Orders,Holmes/VHA Long Term Care Joint Venture,,94-2393; 94-2976,7/17/1995
Settlement Agreements,Holmes/VHA Long Term Care Joint Venture dba Holmes Regional Nurs,NH94-157M,95-0845,6/23/1997
Settlement Agreements,Holmes/VHA Long Term Care Joint Venture dba Holmes Regional Nurs,NH94-156M,95-0846,6/23/1997
Defaults and Dismissals,Holwerda House,"05-98-133-ALF, 05-98-138-ALF, 05-99-266-ALF","99-20PH, 99-25PH",11/16/1999
Recommended Orders,Holy Cross Emergency Physicians PA,"2019016490, FL19-000030",,11/19/2019
Recommended Orders,Holy Cross Emergency Physicians PA,2020006158,,4/28/2020
Recommended Orders,Holy Cross Emergency Physicians PA,2020006156,,4/28/2020
Settlement Agreements,Holy Cross Healthplex,2006004265,06-2115,6/7/2007
Defaults and Dismissals,Holy Cross Hosp Inc,CI 00-0386-008/VSD,,1/25/2002
Settlement Agreements,Holy Cross Hospital,CI 98-1320-031,,10/14/2002
Settlement Agreements,Holy Cross Hospital,"CI 01-0971-000, CI 01-1037-000","02-1308MPI, 02-0584MPI",10/16/2002
Defaults and Dismissals,Holy Cross Hospital,,01-156PH,11/5/2001
Defaults and Dismissals,Holy Cross Hospital,2009002033; 10-0073,,3/9/2009
Defaults and Dismissals,Holy Cross Hospital,"2009009393, 10-0073",,8/24/2009
Defaults and Dismissals,Holy Cross Hospital,2019002359,,2/26/2019
Defaults and Dismissals,Holy Cross Hospital,SMRP3040,,7/29/2019
Defaults and Dismissals,Holy Cross Hospital,2016014139,,6/26/2018
Defaults and Dismissals,Holy Cross Hospital,2018002261,,2/20/2018
Defaults and Dismissals,Holy Cross Hospital,SMRP2032,,5/15/2018
Defaults and Dismissals,Holy Cross Hospital,2018004645,,12/14/2018
Defaults and Dismissals,Holy Cross Hospital,2024010479,,9/9/2024
Defaults and Dismissals,Holy Cross Hospital,2011009328,,8/29/2011
Defaults and Dismissals,Holy Cross Hospital,2015008547,,12/17/2015
Defaults and Dismissals,Holy Cross Hospital,"CI 14-0337-000, 2015-0002030",,10/28/2015
Defaults and Dismissals,Holy Cross Hospital,15-021-MPF,,4/13/2015
Defaults and Dismissals,Holy Cross Hospital,2016008854,,8/24/2016
Defaults and Dismissals,Holy Cross Hospital,2015008553,,6/30/2016
Defaults and Dismissals,Holy Cross Hospital,2017009002,,8/31/2017
Settlement Agreements,Holy Cross Hospital Blood Gas Laboratory,2009003424,,5/14/2009
Settlement Agreements,Holy Cross Hospital Home Health Agency,2020003732,,8/11/2020
Settlement Agreements,Holy Cross Hospital Home Health Agency,2014011931,,5/6/2015
Defaults and Dismissals,Holy Cross Hospital Inc,CI 98-0914-036-4,,4/2/2001
Defaults and Dismissals,Holy Cross Hospital Inc,CI 02-0375-000,,8/8/2003
Settlement Agreements,Holy Cross Hospital Inc,2024007699,,8/19/2024
Settlement Agreements,Holy Cross Hospital Inc,2024007696,,8/19/2024
Settlement Agreements,Holy Cross Hospital Inc,OPX-22,,2/5/2015
Defaults and Dismissals,Holy Cross Hospital Inc,"2015-0000987, CI 15-0196-000",,9/27/2017
Defaults and Dismissals,Holy Cross Hospital Inc,2010008031,,8/10/2010
Defaults and Dismissals,Holy Cross Hospital Inc,2014003291,,4/29/2014
Defaults and Dismissals,Holy Cross Hospital Inc,2013010474,,10/14/2013
Defaults and Dismissals,Holy Cross Hospital Inc,CI 12-0847-000,,4/24/2013
Defaults and Dismissals,Holy Cross Hospital Inc,2012007831,,8/2/2012
Defaults and Dismissals,Holy Cross Hospital Inc dba Holy Cross Hospital Inc,2009007771,,9/1/2009
,"Holy Cross Hospital, Inc",,Invoice 120911 OP,4/10/2003
Settlement Agreements,"Holy Cross Hospital, Inc d/b/a North Ridge Medical Center",2008005958,,8/12/2008
Settlement Agreements,"Holy Cross Hospital, Inc dba Holy Cross Hospital Home Health",2009003023,09-317PH,1/6/2010
Recommended Orders,"Holy Cross Hospital, INC, and Northwest Regional Hospital, INC,",,95-2293; 95-2294,5/21/1997
Defaults and Dismissals,Holy Cross Long Term Care Inc,,00-1674,11/7/2000
Settlement Agreements,Holy Cross Long Term Care Inc,,98-4692,3/2/1999
Settlement Agreements,Holy Cross Long Term Care Inc dba Mercy Manor South,10-97-316-NH,97-5916,10/12/1998
Defaults and Dismissals,Holy Cross Medical Group,CI 11-3825-000,,1/4/2012
Settlement Agreements,Holy Family Group Home ALF Inc,2023015639,23-586PH,1/29/2024
Settlement Agreements,Holy Family Group Home ALF Inc,2022003381,22-114PH,3/28/2022
